,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,60,29,0,0.0,0.5,1,0,0
1,60,29,0,0.5,0.5,1,0,0
2,58,28,10,1.0,1.0,0,-2,-1
3,57,27,9,2.0,1.0,6,-1,-1
4,57,27,9,3.0,1.0,6,0,0
5,58,28,10,0.0,1.5,0,1,1
6,60,29,0,1.5,0.5,1,2,1
7,62,30,2,2.0,0.5,2,2,1
8,64,31,4,2.5,0.5,3,2,1
9,65,32,5,3.0,0.5,4,1,1
10,60,29,0,3.5,0.5,1,-5,-3
11,63,31,3,0.0,1.0,3,3,2
12,63,31,3,1.0,1.0,3,0,0
13,62,30,2,2.0,2.0,2,-1,-1
14,67,33,7,0.0,1.0,5,5,3
15,60,29,0,1.0,1.0,1,-7,-4
16,62,30,2,2.0,1.0,2,2,1
17,60,29,0,3.0,1.0,1,-2,-1
18,60,29,0,0.0,1.0,1,0,0
19,62,30,2,1.0,0.5,2,2,1
20,65,32,5,1.5,0.5,4,3,2
21,63,31,3,2.0,1.0,3,-2,-1
22,62,30,2,3.0,1.0,2,-1,-1
23,60,29,0,0.0,2.0,1,-2,-1
24,60,29,0,2.0,2.0,1,0,0
25,60,29,0,0.0,2.0,1,0,0
