,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,60,29,0,3.0,1.0,1,0,0
1,60,29,0,0.0,0.5,1,0,0
2,60,29,0,0.5,0.5,1,0,0
3,58,28,10,1.0,1.0,0,-2,-1
4,57,27,9,2.0,1.0,6,-1,-1
5,57,27,9,3.0,1.0,6,0,0
6,58,28,10,0.0,1.5,0,1,1
7,60,29,0,1.5,0.5,1,2,1
8,62,30,2,2.0,0.5,2,2,1
9,64,31,4,2.5,0.5,3,2,1
10,65,32,5,3.0,0.5,4,1,1
11,60,29,0,3.5,0.5,1,-5,-3
12,63,31,3,0.0,1.0,3,3,2
13,63,31,3,1.0,1.0,3,0,0
14,62,30,2,2.0,2.0,2,-1,-1
15,67,33,7,0.0,1.0,5,5,3
16,60,29,0,1.0,1.0,1,-7,-4
17,62,30,2,2.0,1.0,2,2,1
18,60,29,0,3.0,1.0,1,-2,-1
19,60,29,0,0.0,1.0,1,0,0
20,62,30,2,1.0,0.5,2,2,1
21,65,32,5,1.5,0.5,4,3,2
22,63,31,3,2.0,1.0,3,-2,-1
23,62,30,2,3.0,1.0,2,-1,-1
24,60,29,0,0.0,2.0,1,-2,-1
25,60,29,0,2.0,2.0,1,0,0
26,60,29,0,0.0,4.0,1,0,0
