,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,77,39,5,1.0,1.5,4,8,5
1,77,39,5,2.5,0.5,4,0,0
2,76,38,4,3.0,1.0,3,-1,-1
3,74,37,2,0.0,3.0,2,-2,-1
4,72,36,0,3.0,1.0,1,-2,-1
5,71,35,11,0.0,1.0,0,-1,-1
6,72,36,0,1.0,1.0,1,1,1
7,74,37,2,2.0,1.5,2,2,1
8,72,36,0,3.5,0.5,1,-2,-1
9,72,36,0,0.0,2.0,1,0,0
10,79,40,7,3.0,1.0,5,7,4
11,72,36,0,0.0,1.0,1,-7,-4
12,77,39,5,1.0,1.0,4,5,3
13,70,35,10,2.0,1.0,0,-7,-4
14,74,37,2,3.0,1.0,2,4,2
15,67,33,7,0.0,1.0,5,-7,-4
16,69,34,9,1.0,0.5,6,2,1
17,70,35,10,1.5,0.5,0,1,1
18,72,36,0,2.0,1.5,1,2,1
19,70,35,10,3.5,0.5,0,-2,-1
20,69,34,9,0.0,4.0,6,-1,-1
