,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,69,34,9,0.0,0.5,6,9,5
1,67,33,7,0.5,0.5,5,-2,-1
2,69,34,9,1.0,0.5,6,2,1
3,65,32,5,1.5,0.5,4,-4,-2
4,67,33,7,2.0,0.5,5,2,1
5,69,34,9,2.5,0.5,6,2,1
6,70,35,10,0.0,0.5,0,1,1
7,69,34,9,0.5,0.5,6,-1,-1
8,70,35,10,1.0,0.5,0,1,1
9,67,33,7,1.5,0.5,5,-3,-2
10,69,34,9,2.0,0.5,6,2,1
11,71,35,11,2.5,0.5,0,2,1
12,72,36,0,0.0,0.5,1,1,1
13,71,35,11,0.5,0.5,0,-1,-1
14,72,36,0,1.0,0.5,1,1,1
15,74,37,2,1.5,0.5,2,2,1
16,72,36,0,2.0,0.5,1,-2,-1
17,70,35,10,2.5,0.5,0,-2,-1
18,69,34,9,0.0,0.5,6,-1,-1
19,67,33,7,0.5,0.5,5,-2,-1
20,69,34,9,1.0,0.5,6,2,1
21,70,35,10,1.5,0.5,0,1,1
22,69,34,9,2.0,0.5,6,-1,-1
23,65,32,5,2.5,0.5,4,-4,-2
