,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,60,29,0,0.0,1.0,1,7,4
1,69,34,9,0.0,0.5,6,9,5
2,67,33,7,0.5,0.5,5,-2,-1
3,69,34,9,1.0,0.5,6,2,1
4,65,32,5,1.5,0.5,4,-4,-2
5,67,33,7,2.0,0.5,5,2,1
6,69,34,9,2.5,0.5,6,2,1
7,70,35,10,0.0,0.5,0,1,1
8,69,34,9,0.5,0.5,6,-1,-1
9,70,35,10,1.0,0.5,0,1,1
10,67,33,7,1.5,0.5,5,-3,-2
11,69,34,9,2.0,0.5,6,2,1
12,71,35,11,2.5,0.5,0,2,1
13,72,36,0,0.0,0.5,1,1,1
14,71,35,11,0.5,0.5,0,-1,-1
15,72,36,0,1.0,0.5,1,1,1
16,74,37,2,1.5,0.5,2,2,1
17,72,36,0,2.0,0.5,1,-2,-1
18,70,35,10,2.5,0.5,0,-2,-1
19,69,34,9,0.0,0.5,6,-1,-1
20,67,33,7,0.5,0.5,5,-2,-1
21,69,34,9,1.0,0.5,6,2,1
22,70,35,10,1.5,0.5,0,1,1
23,69,34,9,2.0,0.5,6,-1,-1
24,65,32,5,2.5,0.5,4,-4,-2
