,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,62,30,2,2.62,0.12,2,-2,-1
1,60,29,0,2.75,0.12,1,-2,-1
2,59,28,11,2.88,0.12,0,-1,-1
3,57,27,9,3.0,0.5,6,-2,-1
4,60,29,0,3.5,0.12,1,3,2
5,59,28,11,3.62,0.12,0,-1,-1
6,57,27,9,3.75,0.12,6,-2,-1
7,55,26,7,3.88,0.12,5,-2,-1
8,54,25,6,0.0,0.12,4,-1,-1
9,55,26,7,0.12,0.12,5,1,1
10,57,27,9,0.25,0.25,6,2,1
11,57,27,9,0.5,0.12,6,0,0
12,55,26,7,0.62,0.12,5,-2,-1
13,54,25,6,0.75,0.12,4,-1,-1
14,52,24,4,0.88,0.12,3,-2,-1
15,51,23,3,1.0,0.12,2,-1,-1
16,52,24,4,1.12,0.12,3,1,1
17,54,25,6,1.25,0.25,4,2,1
18,54,25,6,1.5,0.12,4,0,0
19,52,24,4,1.62,0.12,3,-2,-1
20,51,23,3,1.75,0.12,2,-1,-1
21,49,22,1,1.88,0.12,1,-2,-1
22,47,21,11,2.0,0.75,0,-2,-1
23,49,22,1,2.75,0.12,1,2,1
24,51,23,3,2.88,0.12,2,2,1
25,51,23,3,3.0,0.75,2,0,0
26,49,22,1,3.75,0.12,1,-2,-1
27,51,23,3,3.88,0.12,2,2,1
28,52,24,4,0.0,0.5,3,1,1
