,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,83,42,11,0.62,0.12,0,-1,-1
1,81,41,9,0.75,0.12,6,-2,-1
2,79,40,7,0.88,0.12,5,-2,-1
3,77,39,5,1.0,0.5,4,-2,-1
4,81,41,9,1.5,0.12,6,4,2
5,79,40,7,1.62,0.12,5,-2,-1
6,77,39,5,1.75,0.12,4,-2,-1
7,76,38,4,1.88,0.12,3,-1,-1
8,74,37,2,2.0,0.12,2,-2,-1
9,76,38,4,2.12,0.12,3,2,1
10,77,39,5,2.25,0.25,4,1,1
11,77,39,5,2.5,0.12,4,0,0
12,76,38,4,2.62,0.12,3,-1,-1
13,74,37,2,2.75,0.12,2,-2,-1
14,72,36,0,2.88,0.12,1,-2,-1
15,71,35,11,3.0,0.12,0,-1,-1
16,72,36,0,3.12,0.12,1,1,1
17,74,37,2,3.25,0.25,2,2,1
18,74,37,2,3.5,0.12,2,0,0
19,72,36,0,3.62,0.12,1,-2,-1
20,71,35,11,3.75,0.12,0,-1,-1
21,69,34,9,3.88,0.12,6,-2,-1
22,67,33,7,0.0,0.75,5,-2,-1
23,69,34,9,0.75,0.12,6,2,1
24,71,35,11,0.88,0.12,0,2,1
25,71,35,11,1.0,0.75,0,0,0
26,69,34,9,1.75,0.12,6,-2,-1
27,71,35,11,1.88,0.12,0,2,1
28,72,36,0,2.0,1.0,1,1,1
