,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,50,23,2,0.0,0.12,2,1,1
1,52,24,4,0.12,0.12,3,2,1
2,53,25,5,0.25,0.25,4,1,1
3,53,25,5,0.5,0.12,4,0,0
4,52,24,4,0.62,0.12,3,-1,-1
5,50,23,2,0.75,0.12,2,-2,-1
6,48,22,0,0.88,0.12,1,-2,-1
7,47,21,11,1.0,0.12,0,-1,-1
8,48,22,0,1.12,0.12,1,1,1
9,50,23,2,1.25,0.25,2,2,1
10,50,23,2,1.5,0.12,2,0,0
11,48,22,0,1.62,0.12,1,-2,-1
12,47,21,11,1.75,0.12,0,-1,-1
13,45,20,9,1.88,0.12,6,-2,-1
14,43,19,7,2.0,0.75,5,-2,-1
15,45,20,9,2.75,0.12,6,2,1
16,47,21,11,2.88,0.12,0,2,1
17,47,21,11,3.0,0.75,0,0,0
18,45,20,9,3.75,0.12,6,-2,-1
19,47,21,11,3.88,0.12,0,2,1
20,48,22,0,0.0,0.5,1,1,1
