,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,67,33,7,2.62,0.12,5,-2,-1
1,65,32,5,2.75,0.12,4,-2,-1
2,64,31,4,2.88,0.12,3,-1,-1
3,62,30,2,3.0,0.5,2,-2,-1
4,65,32,5,3.5,0.12,4,3,2
5,64,31,4,3.62,0.12,3,-1,-1
6,62,30,2,3.75,0.12,2,-2,-1
7,60,29,0,3.88,0.12,1,-2,-1
8,59,28,11,0.0,0.12,0,-1,-1
9,60,29,0,0.12,0.12,1,1,1
10,62,30,2,0.25,0.25,2,2,1
11,62,30,2,0.5,0.12,2,0,0
12,60,29,0,0.62,0.12,1,-2,-1
13,59,28,11,0.75,0.12,0,-1,-1
14,57,27,9,0.88,0.12,6,-2,-1
15,56,26,8,1.0,0.12,5,-1,-1
16,57,27,9,1.12,0.12,6,1,1
17,59,28,11,1.25,0.25,0,2,1
18,59,28,11,1.5,0.12,0,0,0
19,57,27,9,1.62,0.12,6,-2,-1
20,56,26,8,1.75,0.12,5,-1,-1
21,54,25,6,1.88,0.12,4,-2,-1
22,52,24,4,2.0,0.75,3,-2,-1
23,54,25,6,2.75,0.12,4,2,1
24,56,26,8,2.88,0.12,5,2,1
25,56,26,8,3.0,0.75,5,0,0
26,54,25,6,3.75,0.12,4,-2,-1
27,56,26,8,3.88,0.12,5,2,1
28,57,27,9,0.0,0.5,6,1,1
