,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,74,37,2,2.62,0.12,2,-2,-1
1,72,36,0,2.75,0.12,1,-2,-1
2,71,35,11,2.88,0.12,0,-1,-1
3,69,34,9,3.0,0.5,6,-2,-1
4,72,36,0,3.5,0.12,1,3,2
5,71,35,11,3.62,0.12,0,-1,-1
6,69,34,9,3.75,0.12,6,-2,-1
7,67,33,7,3.88,0.12,5,-2,-1
8,66,32,6,0.0,0.12,4,-1,-1
9,67,33,7,0.12,0.12,5,1,1
10,69,34,9,0.25,0.25,6,2,1
11,69,34,9,0.5,0.12,6,0,0
12,67,33,7,0.62,0.12,5,-2,-1
13,66,32,6,0.75,0.12,4,-1,-1
14,64,31,4,0.88,0.12,3,-2,-1
15,63,30,3,1.0,0.12,2,-1,-1
16,64,31,4,1.12,0.12,3,1,1
17,66,32,6,1.25,0.25,4,2,1
18,66,32,6,1.5,0.12,4,0,0
19,64,31,4,1.62,0.12,3,-2,-1
20,63,30,3,1.75,0.12,2,-1,-1
21,61,29,1,1.88,0.12,1,-2,-1
22,59,28,11,2.0,0.75,0,-2,-1
23,61,29,1,2.75,0.12,1,2,1
24,63,30,3,2.88,0.12,2,2,1
25,63,30,3,3.0,0.75,2,0,0
26,61,29,1,3.75,0.12,1,-2,-1
27,63,30,3,3.88,0.12,2,2,1
28,64,31,4,0.0,0.5,3,1,1
