,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,48,22,0,3.0,1.0,1,-5,-3
1,53,25,5,0.0,1.5,4,5,3
2,55,26,7,1.5,0.5,5,2,1
3,57,27,9,2.0,0.5,6,2,1
4,58,28,10,2.5,0.5,0,1,1
5,60,29,0,3.0,1.0,1,2,1
6,62,30,2,0.0,2.0,2,2,1
7,55,26,7,0.0,1.0,5,-7,-4
8,60,29,0,1.0,2.0,1,5,3
9,59,28,11,3.0,1.0,0,-1,-1
10,60,29,0,0.0,1.0,1,1,1
11,57,27,9,1.0,1.0,6,-3,-2
12,58,28,10,2.0,1.0,0,1,1
13,60,29,0,3.0,1.0,1,2,1
14,57,27,9,0.0,1.0,6,-3,-2
15,62,30,2,1.0,1.0,2,5,3
16,55,26,7,2.0,0.5,5,-7,-4
17,55,26,7,2.5,0.5,5,0,0
18,58,28,10,3.0,1.0,0,3,2
19,58,28,10,0.0,1.0,0,0,0
20,57,27,9,1.0,1.0,6,-1,-1
21,55,26,7,2.0,2.0,5,-2,-1
22,53,25,5,0.0,4.0,4,-2,-1
