,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,69,34,9,1.0,1.5,6,4,2
1,69,34,9,2.5,0.5,6,0,0
2,67,33,7,3.0,1.0,5,-2,-1
3,65,32,5,0.0,1.0,4,-2,-1
4,62,30,2,1.0,0.5,2,-3,-2
5,64,31,4,1.5,0.5,3,2,1
6,65,32,5,2.0,0.5,4,1,1
7,67,33,7,2.5,0.5,5,2,1
8,69,34,9,3.0,1.0,6,2,1
9,62,30,2,0.0,1.5,2,-7,-4
10,64,31,4,1.5,0.5,3,2,1
11,65,32,5,2.0,0.5,4,1,1
12,67,33,7,2.5,0.5,5,2,1
13,69,34,9,3.0,0.5,6,2,1
14,65,32,5,3.5,0.5,4,-4,-2
15,67,33,7,0.0,3.0,5,2,1
16,67,33,7,3.0,1.0,5,0,0
17,64,31,4,0.0,1.0,3,-3,-2
18,65,32,5,1.0,1.0,4,1,1
19,67,33,7,2.0,1.5,5,2,1
20,67,33,7,3.5,0.5,5,0,0
21,69,34,9,0.0,1.0,6,2,1
22,65,32,5,1.0,1.0,4,-4,-2
23,67,33,7,2.0,1.5,5,2,1
24,65,32,5,3.5,0.5,4,-2,-1
25,64,31,4,0.0,1.0,3,-1,-1
26,65,32,5,1.0,2.0,4,1,1
27,64,31,4,3.0,1.0,3,-1,-1
28,65,32,5,0.0,4.0,4,1,1
