,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,73,37,1,0.0,1.5,2,7,4
1,69,34,9,1.5,0.5,6,-4,-3
2,73,37,1,2.0,0.5,2,4,3
3,69,34,9,2.5,0.5,6,-4,-3
4,65,32,5,0.0,0.5,4,-4,-2
5,66,33,6,0.5,0.5,5,1,1
6,65,32,5,1.0,0.5,4,-1,-1
7,66,33,6,1.5,0.5,5,1,1
8,65,32,5,2.0,0.5,4,-1,-1
9,63,31,3,2.5,0.5,3,-2,-1
10,69,34,9,0.0,0.75,6,6,3
11,70,35,10,0.75,0.25,0,1,1
12,70,35,10,1.0,1.0,0,0,0
13,70,35,10,2.0,0.33,0,0,0
14,72,36,0,2.33,0.33,1,2,1
15,70,35,10,2.67,0.33,0,-2,-1
16,63,31,3,0.0,0.75,3,-7,-4
17,61,30,1,0.75,0.25,2,-2,-1
18,61,30,1,1.0,1.0,2,0,0
19,67,33,7,2.0,1.0,5,6,3
20,77,39,5,0.0,1.5,4,10,6
21,72,36,0,1.5,0.5,1,-5,-3
22,77,39,5,2.0,0.5,4,5,3
23,72,36,0,2.5,0.5,1,-5,-3
24,68,34,8,0.0,0.5,6,-4,-2
25,69,35,9,0.5,0.5,0,1,1
26,68,34,8,1.0,0.5,6,-1,-1
27,69,35,9,1.5,0.5,0,1,1
28,68,34,8,2.0,0.5,6,-1,-1
29,66,33,6,2.5,0.5,5,-2,-1
30,72,36,0,0.0,0.75,1,6,3
31,73,37,1,0.75,0.25,2,1,1
32,73,37,1,1.0,1.0,2,0,0
33,73,37,1,2.0,0.33,2,0,0
