,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,77,39,5,0.0,1.5,4,10,6
1,72,36,0,1.5,0.5,1,-5,-3
2,77,39,5,2.0,0.5,4,5,3
3,72,36,0,2.5,0.5,1,-5,-3
4,68,34,8,0.0,1.5,6,-4,-2
5,69,35,9,1.5,0.5,0,1,1
6,68,34,8,2.0,0.5,6,-1,-1
7,66,33,6,2.5,0.5,5,-2,-1
8,72,36,0,0.0,0.75,1,6,3
9,73,37,1,0.75,0.25,2,1,1
10,73,37,1,1.0,1.0,2,0,0
11,73,37,1,2.0,1.0,2,0,0
12,66,33,6,0.0,0.75,5,-7,-4
13,65,32,5,0.75,0.25,4,-1,-1
14,65,32,5,1.0,1.0,4,0,0
15,71,35,11,2.0,1.0,0,6,3
16,80,41,8,0.0,1.5,6,9,6
17,76,38,4,1.5,0.5,3,-4,-3
18,80,41,8,2.0,0.5,6,4,3
19,76,38,4,2.5,0.5,3,-4,-3
20,72,36,0,0.0,1.5,1,-4,-2
21,73,37,1,1.5,0.5,2,1,1
22,72,36,0,2.0,0.5,1,-1,-1
23,70,35,10,2.5,0.5,0,-2,-1
24,76,38,4,0.0,0.75,3,6,3
25,77,39,5,0.75,0.25,4,1,1
26,77,39,5,1.0,1.0,4,0,0
