,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,73,37,1,2.0,1.0,2,0,0
1,68,33,8,0.0,1.5,5,-5,-4
2,69,34,9,1.5,1.0,6,1,1
3,69,34,9,2.5,0.5,6,0,0
4,73,37,1,0.0,3.0,2,4,3
5,69,34,9,0.0,0.75,6,-4,-3
6,70,35,10,0.75,0.25,0,1,1
7,70,35,10,1.0,1.0,0,0,0
8,70,35,10,2.0,1.0,0,0,0
9,77,39,5,0.0,2.0,4,7,4
10,77,39,5,2.0,1.0,4,0,0
11,70,35,10,0.0,1.5,0,-7,-4
12,72,36,0,1.5,1.0,1,2,1
13,72,36,0,2.5,0.5,1,0,0
14,77,39,5,0.0,3.0,4,5,3
15,72,36,0,0.0,0.75,1,-5,-3
16,73,37,1,0.75,0.25,2,1,1
17,73,37,1,1.0,1.0,2,0,0
18,73,37,1,2.0,1.0,2,0,0
