,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,77,39,5,0.0,1.5,4,10,6
1,72,36,0,1.5,0.5,1,-5,-3
2,77,39,5,2.0,0.5,4,5,3
3,72,36,0,2.5,0.5,1,-5,-3
4,68,34,8,0.0,0.5,6,-4,-2
5,69,35,9,0.5,0.5,0,1,1
6,68,34,8,1.0,0.5,6,-1,-1
7,69,35,9,1.5,0.5,0,1,1
8,68,34,8,2.0,0.5,6,-1,-1
9,66,33,6,2.5,0.5,5,-2,-1
10,72,36,0,0.0,0.75,1,6,3
11,73,37,1,0.75,0.25,2,1,1
12,73,37,1,1.0,1.0,2,0,0
13,73,37,1,2.0,0.33,2,0,0
14,75,38,3,2.33,0.33,3,2,1
15,73,37,1,2.67,0.33,2,-2,-1
16,66,33,6,0.0,0.75,5,-7,-4
17,65,32,5,0.75,0.25,4,-1,-1
18,65,32,5,1.0,1.0,4,0,0
19,71,35,11,2.0,1.0,0,6,3
20,80,41,8,0.0,1.5,6,9,6
21,76,38,4,1.5,0.5,3,-4,-3
22,80,41,8,2.0,0.5,6,4,3
23,76,38,4,2.5,0.5,3,-4,-3
24,72,36,0,0.0,0.5,1,-4,-2
25,73,37,1,0.5,0.5,2,1,1
26,72,36,0,1.0,0.5,1,-1,-1
27,73,37,1,1.5,0.5,2,1,1
28,72,36,0,2.0,0.5,1,-1,-1
29,70,35,10,2.5,0.5,0,-2,-1
30,76,38,4,0.0,0.75,3,6,3
31,77,39,5,0.75,0.25,4,1,1
32,77,39,5,1.0,1.0,4,0,0
