,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,73,37,1,0.0,1.5,2,0,0
1,69,34,9,1.5,0.5,6,-4,-3
2,73,37,1,2.0,0.5,2,4,3
3,69,34,9,2.5,0.5,6,-4,-3
4,63,31,3,0.0,1.5,3,-6,-3
5,66,33,6,1.5,0.5,5,3,2
6,65,32,5,2.0,0.5,4,-1,-1
7,63,31,3,2.5,0.5,3,-2,-1
8,69,34,9,0.0,0.75,6,6,3
9,70,35,10,0.75,0.25,0,1,1
10,70,35,10,1.0,1.0,0,0,0
11,70,35,10,2.0,1.0,0,0,0
12,63,31,3,0.0,0.75,3,-7,-4
13,61,30,1,0.75,0.25,2,-2,-1
14,61,30,1,1.0,1.0,2,0,0
15,67,33,7,2.0,1.0,5,6,3
16,77,39,5,0.0,1.5,4,10,6
17,72,36,0,1.5,0.5,1,-5,-3
18,77,39,5,2.0,0.5,4,5,3
19,72,36,0,2.5,0.5,1,-5,-3
20,68,34,8,0.0,1.5,6,-4,-2
21,69,35,9,1.5,0.5,0,1,1
22,68,34,8,2.0,0.5,6,-1,-1
23,66,33,6,2.5,0.5,5,-2,-1
24,72,36,0,0.0,0.75,1,6,3
25,73,37,1,0.75,0.25,2,1,1
26,73,37,1,1.0,1.0,2,0,0
27,73,37,1,2.0,1.0,2,0,0
