,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,70,35,10,2.0,0.25,0,12,7
1,72,36,0,2.25,0.25,1,2,1
2,70,35,10,2.5,0.25,0,-2,-1
3,69,34,9,2.75,0.25,6,-1,-1
4,70,35,10,0.0,1.0,0,1,1
5,70,35,10,1.75,0.25,0,0,0
6,75,38,3,2.0,0.75,3,5,3
7,75,38,3,2.75,0.25,3,0,0
8,75,38,3,0.0,1.0,3,0,0
9,74,37,2,1.0,1.0,2,-1,-1
10,70,35,10,2.0,0.25,0,-4,-2
11,72,36,0,2.25,0.25,1,2,1
12,70,35,10,2.5,0.25,0,-2,-1
13,69,34,9,2.75,0.25,6,-1,-1
14,70,35,10,0.0,1.0,0,1,1
15,70,35,10,1.75,0.25,0,0,0
16,79,40,7,2.0,0.75,5,9,5
17,79,40,7,2.75,0.25,5,0,0
18,82,42,10,0.0,1.0,0,3,2
19,80,41,8,1.0,1.0,6,-2,-1
