,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,74,37,2,0.0,0.75,2,-1,-1
1,75,38,3,0.75,0.25,3,1,1
2,72,36,0,0.0,0.5,1,-3,-2
3,70,35,10,0.5,0.5,0,-2,-1
4,70,35,10,1.0,1.0,0,0,0
5,70,35,10,2.0,1.0,0,0,0
6,69,34,9,0.0,1.0,6,-1,-1
7,75,38,3,2.0,0.75,3,6,4
8,77,39,5,2.75,0.25,4,2,1
9,74,37,2,0.0,0.5,2,-3,-2
10,72,36,0,0.5,0.5,1,-2,-1
11,72,36,0,1.0,1.0,1,0,0
12,72,36,0,2.0,1.0,1,0,0
13,70,35,10,0.0,1.0,0,-2,-1
