,midi_note_num,diatonic_note_num,chromatic_pitch_class,offset,duration,diatonic_pitch_class,chromatic_interval,diatonic_interval
0,53,25,5,1.0,1.5,4,12,7
1,53,25,5,2.5,0.5,4,0,0
2,52,24,4,3.0,1.0,3,-1,-1
3,50,23,2,0.0,3.0,2,-2,-1
4,48,22,0,3.0,1.0,1,-2,-1
5,46,21,10,0.0,0.5,0,-2,-1
6,46,21,10,0.5,0.5,0,0,0
7,58,28,10,1.0,2.0,0,12,7
8,57,27,9,3.0,1.0,6,-1,-1
9,55,26,7,0.0,4.0,5,-2,-1
10,48,22,0,0.0,1.0,1,-7,-4
11,53,25,5,1.0,2.0,4,5,3
12,52,24,4,3.0,1.0,3,-1,-1
13,53,25,5,0.0,1.0,4,1,1
14,50,23,2,1.0,1.0,2,-3,-2
15,51,24,3,2.0,1.0,3,1,1
16,46,21,10,3.0,1.0,0,-5,-3
17,48,22,0,0.0,3.0,1,2,1
18,48,22,0,3.0,1.0,1,0,0
19,41,18,5,0.0,4.0,4,-7,-4
